WebSocket LTT (ms): 1753243470152 | Human: 09:34:30.152 | LTP: 393.6 | Latency: 351ms | Socket Timing :09:34:30.152 | Current Timing :09:34:30.503
WebSocket LTT (ms): 1753243470152 | Human: 09:34:30.152 | LTP: 444.7 | Latency: 352ms | Socket Timing :09:34:30.152 | Current Timing :09:34:30.504
WebSocket LTT (ms): 1753243470249 | Human: 09:34:30.249 | LTP: 296.85 | Latency: 256ms | Socket Timing :09:34:30.249 | Current Timing :09:34:30.505
WebSocket LTT (ms): 1753243470370 | Human: 09:34:30.370 | LTP: 341.25 | Latency: 282ms | Socket Timing :09:34:30.370 | Current Timing :09:34:30.652
WebSocket LTT (ms): 1753243470152 | Human: 09:34:30.152 | LTP: 393.6 | Latency: 503ms | Socket Timing :09:34:30.152 | Current Timing :09:34:30.655
WebSocket LTT (ms): 1753243470249 | Human: 09:34:30.249 | LTP: 296.85 | Latency: 408ms | Socket Timing :09:34:30.249 | Current Timing :09:34:30.657
WebSocket LTT (ms): 1753243470335 | Human: 09:34:30.335 | LTP: 444.0 | Latency: 657ms | Socket Timing :09:34:30.335 | Current Timing :09:34:30.992
WebSocket LTT (ms): 1753243471075 | Human: 09:34:31.075 | LTP: 340.5 | Latency: 464ms | Socket Timing :09:34:31.075 | Current Timing :09:34:31.539
WebSocket LTT (ms): 1753243471074 | Human: 09:34:31.074 | LTP: 392.65 | Latency: 465ms | Socket Timing :09:34:31.074 | Current Timing :09:34:31.539
WebSocket LTT (ms): 1753243471207 | Human: 09:34:31.207 | LTP: 444.95 | Latency: 332ms | Socket Timing :09:34:31.207 | Current Timing :09:34:31.539
WebSocket LTT (ms): 1753243471102 | Human: 09:34:31.102 | LTP: 296.65 | Latency: 453ms | Socket Timing :09:34:31.102 | Current Timing :09:34:31.555
WebSocket LTT (ms): 1753243471075 | Human: 09:34:31.075 | LTP: 340.5 | Latency: 627ms | Socket Timing :09:34:31.075 | Current Timing :09:34:31.702
WebSocket LTT (ms): 1753243471074 | Human: 09:34:31.074 | LTP: 392.65 | Latency: 631ms | Socket Timing :09:34:31.074 | Current Timing :09:34:31.705
WebSocket LTT (ms): 1753243471207 | Human: 09:34:31.207 | LTP: 444.95 | Latency: 1074ms | Socket Timing :09:34:31.207 | Current Timing :09:34:32.281
WebSocket LTT (ms): 1753243471272 | Human: 09:34:31.272 | LTP: 296.6 | Latency: 1011ms | Socket Timing :09:34:31.272 | Current Timing :09:34:32.283
WebSocket LTT (ms): 1753243471272 | Human: 09:34:31.272 | LTP: 296.6 | Latency: 1181ms | Socket Timing :09:34:31.272 | Current Timing :09:34:32.453
WebSocket LTT (ms): 1753243471737 | Human: 09:34:31.737 | LTP: 341.25 | Latency: 863ms | Socket Timing :09:34:31.737 | Current Timing :09:34:32.600
WebSocket LTT (ms): 1753243472254 | Human: 09:34:32.254 | LTP: 393.6 | Latency: 348ms | Socket Timing :09:34:32.254 | Current Timing :09:34:32.602
WebSocket LTT (ms): 1753243472254 | Human: 09:34:32.254 | LTP: 444.1 | Latency: 495ms | Socket Timing :09:34:32.254 | Current Timing :09:34:32.749
WebSocket LTT (ms): 1753243472592 | Human: 09:34:32.592 | LTP: 340.7 | Latency: 308ms | Socket Timing :09:34:32.592 | Current Timing :09:34:32.900
WebSocket LTT (ms): 1753243472254 | Human: 09:34:32.254 | LTP: 393.6 | Latency: 648ms | Socket Timing :09:34:32.254 | Current Timing :09:34:32.902
WebSocket LTT (ms): 1753243472887 | Human: 09:34:32.887 | LTP: 443.25 | Latency: 314ms | Socket Timing :09:34:32.887 | Current Timing :09:34:33.201
WebSocket LTT (ms): 1753243472595 | Human: 09:34:32.595 | LTP: 296.7 | Latency: 608ms | Socket Timing :09:34:32.595 | Current Timing :09:34:33.203
WebSocket LTT (ms): 1753243472986 | Human: 09:34:32.986 | LTP: 444.35 | Latency: 540ms | Socket Timing :09:34:32.986 | Current Timing :09:34:33.526
WebSocket LTT (ms): 1753243473150 | Human: 09:34:33.150 | LTP: 296.1 | Latency: 376ms | Socket Timing :09:34:33.150 | Current Timing :09:34:33.526
WebSocket LTT (ms): 1753243473302 | Human: 09:34:33.302 | LTP: 340.3 | Latency: 349ms | Socket Timing :09:34:33.302 | Current Timing :09:34:33.651
WebSocket LTT (ms): 1753243473138 | Human: 09:34:33.138 | LTP: 393.45 | Latency: 516ms | Socket Timing :09:34:33.138 | Current Timing :09:34:33.654
WebSocket LTT (ms): 1753243473781 | Human: 09:34:33.781 | LTP: 339.65 | Latency: 317ms | Socket Timing :09:34:33.781 | Current Timing :09:34:34.098
WebSocket LTT (ms): 1753243473138 | Human: 09:34:33.138 | LTP: 393.45 | Latency: 960ms | Socket Timing :09:34:33.138 | Current Timing :09:34:34.098
WebSocket LTT (ms): 1753243474072 | Human: 09:34:34.072 | LTP: 444.05 | Latency: 329ms | Socket Timing :09:34:34.072 | Current Timing :09:34:34.401
WebSocket LTT (ms): 1753243473748 | Human: 09:34:33.748 | LTP: 296.7 | Latency: 655ms | Socket Timing :09:34:33.748 | Current Timing :09:34:34.403
WebSocket LTT (ms): 1753243474209 | Human: 09:34:34.209 | LTP: 443.15 | Latency: 615ms | Socket Timing :09:34:34.209 | Current Timing :09:34:34.824
WebSocket LTT (ms): 1753243473748 | Human: 09:34:33.748 | LTP: 296.7 | Latency: 1076ms | Socket Timing :09:34:33.748 | Current Timing :09:34:34.824
