WebSocket LTT (ms): 1753242316195 | Human: 09:15:16.195 | LTP: 317.8 | Latency: 334ms | Socket Timing :09:15:16.195 | Current Timing :09:15:16.529
WebSocket LTT (ms): 1753242316380 | Human: 09:15:16.380 | LTP: 321.75 | Latency: 293ms | Socket Timing :09:15:16.380 | Current Timing :09:15:16.673
WebSocket LTT (ms): 1753242316530 | Human: 09:15:16.530 | LTP: 427.0 | Latency: 284ms | Socket Timing :09:15:16.530 | Current Timing :09:15:16.814
WebSocket LTT (ms): 1753242316591 | Human: 09:15:16.591 | LTP: 316.9 | Latency: 223ms | Socket Timing :09:15:16.591 | Current Timing :09:15:16.814
WebSocket LTT (ms): 1753242316478 | Human: 09:15:16.478 | LTP: 320.9 | Latency: 477ms | Socket Timing :09:15:16.478 | Current Timing :09:15:16.955
WebSocket LTT (ms): 1753242316558 | Human: 09:15:16.558 | LTP: 414.95 | Latency: 397ms | Socket Timing :09:15:16.558 | Current Timing :09:15:16.955
WebSocket LTT (ms): 1753242317201 | Human: 09:15:17.201 | LTP: 419.7 | Latency: 514ms | Socket Timing :09:15:17.201 | Current Timing :09:15:17.715
WebSocket LTT (ms): 1753242317456 | Human: 09:15:17.456 | LTP: 427.4 | Latency: 262ms | Socket Timing :09:15:17.456 | Current Timing :09:15:17.718
WebSocket LTT (ms): 1753242317484 | Human: 09:15:17.484 | LTP: 319.7 | Latency: 235ms | Socket Timing :09:15:17.484 | Current Timing :09:15:17.719
WebSocket LTT (ms): 1753242317501 | Human: 09:15:17.501 | LTP: 325.5 | Latency: 363ms | Socket Timing :09:15:17.501 | Current Timing :09:15:17.864
WebSocket LTT (ms): 1753242317559 | Human: 09:15:17.559 | LTP: 427.4 | Latency: 307ms | Socket Timing :09:15:17.559 | Current Timing :09:15:17.866
WebSocket LTT (ms): 1753242317558 | Human: 09:15:17.558 | LTP: 318.0 | Latency: 310ms | Socket Timing :09:15:17.558 | Current Timing :09:15:17.868
WebSocket LTT (ms): 1753242317730 | Human: 09:15:17.730 | LTP: 326.15 | Latency: 286ms | Socket Timing :09:15:17.730 | Current Timing :09:15:18.016
WebSocket LTT (ms): 1753242317483 | Human: 09:15:17.483 | LTP: 418.0 | Latency: 535ms | Socket Timing :09:15:17.483 | Current Timing :09:15:18.018
WebSocket LTT (ms): 1753242318422 | Human: 09:15:18.422 | LTP: 415.7 | Latency: 186ms | Socket Timing :09:15:18.422 | Current Timing :09:15:18.608
WebSocket LTT (ms): 1753242318554 | Human: 09:15:18.554 | LTP: 427.8 | Latency: 391ms | Socket Timing :09:15:18.554 | Current Timing :09:15:18.945
WebSocket LTT (ms): 1753242318595 | Human: 09:15:18.595 | LTP: 317.0 | Latency: 350ms | Socket Timing :09:15:18.595 | Current Timing :09:15:18.945
WebSocket LTT (ms): 1753243194229 | Human: 09:29:54.229 | LTP: 319.8 | Latency: 1125ms | Socket Timing :09:29:54.229 | Current Timing :09:29:55.354
WebSocket LTT (ms): 1753243192595 | Human: 09:29:52.595 | LTP: 415.4 | Latency: 2759ms | Socket Timing :09:29:52.595 | Current Timing :09:29:55.354
WebSocket LTT (ms): 1753243193367 | Human: 09:29:53.367 | LTP: 418.95 | Latency: 1987ms | Socket Timing :09:29:53.367 | Current Timing :09:29:55.354
WebSocket LTT (ms): 1753243194975 | Human: 09:29:54.975 | LTP: 314.0 | Latency: 379ms | Socket Timing :09:29:54.975 | Current Timing :09:29:55.354
WebSocket LTT (ms): 1753243195049 | Human: 09:29:55.049 | LTP: 319.9 | Latency: 385ms | Socket Timing :09:29:55.049 | Current Timing :09:29:55.434
WebSocket LTT (ms): 1753243195017 | Human: 09:29:55.017 | LTP: 415.15 | Latency: 417ms | Socket Timing :09:29:55.017 | Current Timing :09:29:55.434
WebSocket LTT (ms): 1753243195353 | Human: 09:29:55.353 | LTP: 419.75 | Latency: 559ms | Socket Timing :09:29:55.353 | Current Timing :09:29:55.912
WebSocket LTT (ms): 1753243195049 | Human: 09:29:55.049 | LTP: 319.9 | Latency: 863ms | Socket Timing :09:29:55.049 | Current Timing :09:29:55.912
WebSocket LTT (ms): 1753243195523 | Human: 09:29:55.523 | LTP: 415.35 | Latency: 389ms | Socket Timing :09:29:55.523 | Current Timing :09:29:55.912
WebSocket LTT (ms): 1753243195917 | Human: 09:29:55.917 | LTP: 419.75 | Latency: 412ms | Socket Timing :09:29:55.917 | Current Timing :09:29:56.329
WebSocket LTT (ms): 1753243195970 | Human: 09:29:55.970 | LTP: 313.05 | Latency: 375ms | Socket Timing :09:29:55.970 | Current Timing :09:29:56.345
WebSocket LTT (ms): 1753243195916 | Human: 09:29:55.916 | LTP: 320.0 | Latency: 580ms | Socket Timing :09:29:55.916 | Current Timing :09:29:56.496
WebSocket LTT (ms): 1753243195685 | Human: 09:29:55.685 | LTP: 414.3 | Latency: 813ms | Socket Timing :09:29:55.685 | Current Timing :09:29:56.498
WebSocket LTT (ms): 1753243195970 | Human: 09:29:55.970 | LTP: 313.05 | Latency: 530ms | Socket Timing :09:29:55.970 | Current Timing :09:29:56.500
